"sample_id","source_file","source_suite","wcag_sc","failure_category","failure_technique","label","label_source","captured_at","nvda_version","nvda_locale","nvda_verbosity","browser","browser_version","axe_version","capture_mode","element_type","element_tag","element_selector","element_text","element_html_raw","element_html_normalized","parent_tag","parent_tag_path","parent_html","ancestor_roles","css_generated_content","hidden_content","sr_nav_commands","sr_transcript","sr_reading_order","sr_last_phrase","sr_phrase_count","sr_cell_walk","sr_headers_announced","ax_role","ax_name","ax_level","ax_subtree","table_cell_structure","axe_violations","axe_wcag131_violations"
"html-empty-paragraph::sample-0","html-empty-paragraph.html","GDS-accessibility-audit","1.3.1","html","empty-paragraph","inaccessible","source-folder-ground-truth","2026-07-06T08:09:46.327Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","","<main><p></p></main>","<main><p></p></main>","body","body","<body><h1>A paragraph</h1><main><p></p></main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""paragraph"",""end of main""]","[""document"",""heading, A paragraph, level 1"",""main"",""paragraph"",""end of main"",""end of document""]","end of main","3","","","main","","","- main:
  - paragraph","","[]","[]"
"html-invalid-aria-role-names::sample-0","html-invalid-aria-role-names.html","GDS-accessibility-audit","1.3.1","html","invalid-aria-role-names","inaccessible","source-folder-ground-truth","2026-07-06T08:09:50.113Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","ol","ol","body > main > div > ol","Home Housing and local services Local councils and services","<ol class=""group"" role=""breadcrumbs""><li><a href=""/"">Home</a></li><li><a href=""/browse/housing-local-services"">Housing and local services</a></li><li><strong><a href=""/browse/housing-local-services/local-councils"">Local councils and services</a></strong></li></ol>","<ol class=""group"" role=""breadcrumbs""><li><a href=""/"">Home</a></li><li><a href=""/browse/housing-local-services"">Housing and local services</a></li><li><strong><a href=""/browse/housing-local-services/local-councils"">Local councils and services</a></strong></li></ol>","div","body > main > div","<div class=""header-context"" id=""global-breadcrumb""><ol class=""group"" role=""breadcrumbs""><li><a href=""/"">Home</a></li><li><a href=""/browse/housing-local-services"">Housing and local services</a></li><li><strong><a href=""/browse/housing-local-services/local-councils"">Local councils and services</a></strong></li></ol></div>","[""body"",""main"",""div""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""list"",""link, Home"",""link, Housing and local services"",""strong"",""link, Local councils and services"",""end of strong"",""end of list""]","[""document"",""heading, ARIA role names, level 1"",""main"",""list"",""link, Home"",""link, Housing and local services"",""strong"",""link, Local councils and services"",""end of strong"",""end of list"",""end of main"",""end of document""]","end of list","7","","","list","","","- list:
  - listitem:
    - link ""Home"":
      - /url: /
  - listitem:
    - link ""Housing and local services"":
      - /url: /browse/housing-local-services
  - listitem:
    - strong:
      - link ""Local councils and services"":
        - /url: /browse/housing-local-services/local-councils","","[{""id"":""aria-roles"",""impact"":""critical"",""help"":""ARIA roles used must conform to valid values"",""tags"":[""cat.aria"",""wcag2a"",""wcag412"",""EN-301-549"",""EN-9.4.1.2"",""RGAAv4"",""RGAA-7.1.1""],""nodes"":[{""html"":""<ol class=\""group\"" role=\""breadcrumbs\"" data-sample-id=\""sample-0\"">\n<li><a href=\""/\"">Home</a></li>\n<li><a href=\""/browse/housing-local-services\"">Housing and local services</a></li>\n<li><strong><a href=\""/browse/housing-local-services/local-councils\"">Local councils and services</a></strong></li>\n</ol>"",""target"":[""ol""]}]}]","[]"
"html-spacer-image-found::sample-0","html-spacer-image-found.html","GDS-accessibility-audit","1.3.1","html","spacer-image-found","inaccessible","source-folder-ground-truth","2026-07-06T08:09:50.309Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","image","img","body > main > img","","<img alt="""" height=""1"" src=""../../assets/test_images/spacer.gif"" width=""100"">","<img alt="""" height=""1"" src=""../../assets/test_images/spacer.gif"" width=""100"">","main","body > main","<main>
We are here. <img alt="""" height=""1"" src=""../../assets/test_images/spacer.gif"" width=""100""> And you are there.
</main>","[""body"",""main""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""""]","[""document"",""heading, An image found, level 1"",""main"",""We are here."",""And you are there."",""end of main"",""end of document""]","","1","","","","","","","","[]","[]"
"links-link-not-clearly-identifiable-and-distinguishable-from-surrounding-text::sample-0","links-link-not-clearly-identifiable-and-distinguishable-from-surrounding-text.html","GDS-accessibility-audit","1.3.1","links","link-not-clearly-identifiable-and-distinguishable-from-surrounding-text","inaccessible","source-folder-ground-truth","2026-07-06T08:09:50.559Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","Find out more about Doctor Who","<main><p class=""unobvious-link"">Find out more about <a href=""http://www.bbc.co.uk/programmes/b006q2x0"">Doctor Who</a></p></main>","<main><p class=""unobvious-link"">Find out more about <a href=""http://www.bbc.co.uk/programmes/b006q2x0"">Doctor Who</a></p></main>","body","body","<body><h1>A Link</h1><main><p class=""unobvious-link"">Find out more about <a href=""http://www.bbc.co.uk/programmes/b006q2x0"">Doctor Who</a></p></main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""paragraph"",""Find out more about"",""link, Doctor Who"",""end of paragraph"",""end of main""]","[""document"",""heading, A Link, level 1"",""main"",""paragraph"",""Find out more about"",""link, Doctor Who"",""end of paragraph"",""end of main"",""end of document""]","end of main","6","","","main","","","- main:
  - paragraph:
    - text: Find out more about
    - link ""Doctor Who"":
      - /url: http://www.bbc.co.uk/programmes/b006q2x0","","[]","[]"
"lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element::sample-0","lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element.html","GDS-accessibility-audit","1.3.1","lists","dt-or-dd-elements-that-are-not-contained-within-a-dl-element","inaccessible","source-folder-ground-truth","2026-07-06T08:09:50.806Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","orphan-dt","dt","body > main > dt","html","<dt>html</dt>","<dt>html</dt>","main","body > main","<main><dt>html</dt><dd>a markup language for describing web documents</dd></main>","[""body"",""main""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""term"",""html"",""end of term""]","[""document"",""heading, DT or DD elements, level 1"",""main"",""term"",""html"",""end of term"",""definition"",""a markup language for describing web documents"",""end of definition"",""end of main"",""end of document""]","end of term","3","","","term","","","- term: html","","[{""id"":""dlitem"",""impact"":""serious"",""help"":""<dt> and <dd> elements must be contained by a <dl>"",""tags"":[""cat.structure"",""wcag2a"",""wcag131"",""EN-301-549"",""EN-9.1.3.1"",""RGAAv4"",""RGAA-9.3.3""],""nodes"":[{""html"":""<dt data-sample-id=\""sample-0\"">html</dt>"",""target"":[""dt""]}]}]","[{""id"":""dlitem"",""impact"":""serious"",""help"":""<dt> and <dd> elements must be contained by a <dl>"",""tags"":[""cat.structure"",""wcag2a"",""wcag131"",""EN-301-549"",""EN-9.1.3.1"",""RGAAv4"",""RGAA-9.3.3""],""nodes"":[{""html"":""<dt data-sample-id=\""sample-0\"">html</dt>"",""target"":[""dt""]}]}]"
"lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element::sample-1","lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element.html","GDS-accessibility-audit","1.3.1","lists","dt-or-dd-elements-that-are-not-contained-within-a-dl-element","inaccessible","source-folder-ground-truth","2026-07-06T08:09:50.813Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","orphan-dd","dd","body > main > dd","a markup language for describing web documents","<dd>a markup language for describing web documents</dd>","<dd>a markup language for describing web documents</dd>","main","body > main","<main><dt>html</dt><dd>a markup language for describing web documents</dd></main>","[""body"",""main""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""definition"",""a markup language for describing web documents"",""end of definition""]","[""document"",""heading, DT or DD elements, level 1"",""main"",""term"",""html"",""end of term"",""definition"",""a markup language for describing web documents"",""end of definition"",""end of main"",""end of document""]","end of definition","3","","","definition","","","- definition: a markup language for describing web documents","","[{""id"":""dlitem"",""impact"":""serious"",""help"":""<dt> and <dd> elements must be contained by a <dl>"",""tags"":[""cat.structure"",""wcag2a"",""wcag131"",""EN-301-549"",""EN-9.1.3.1"",""RGAAv4"",""RGAA-9.3.3""],""nodes"":[{""html"":""<dd data-sample-id=\""sample-1\"">a markup language for describing web documents</dd>"",""target"":[""dd""]}]}]","[{""id"":""dlitem"",""impact"":""serious"",""help"":""<dt> and <dd> elements must be contained by a <dl>"",""tags"":[""cat.structure"",""wcag2a"",""wcag131"",""EN-301-549"",""EN-9.1.3.1"",""RGAAv4"",""RGAA-9.3.3""],""nodes"":[{""html"":""<dd data-sample-id=\""sample-1\"">a markup language for describing web documents</dd>"",""target"":[""dd""]}]}]"
"lists-improperly-nested-lists::sample-0","lists-improperly-nested-lists.html","GDS-accessibility-audit","1.3.1","lists","improperly-nested-lists","inaccessible","source-folder-ground-truth","2026-07-06T08:09:51.107Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","ul","ul","body > main > ul","I'm doing just okay","<ul><ul><li>I'm doing just okay</li></ul></ul>","<ul><ul><li>I'm doing just okay</li></ul></ul>","main","body > main","<main><ul><ul><li>I'm doing just okay</li></ul></ul></main>","[""body"",""main""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""list"",""list"",""listitem, level 1, position 1, set size 1"",""I'm doing just okay"",""end of listitem, level 1, position 1, set size 1"",""end of list""]","[""document"",""heading, Lists, level 1"",""main"",""list"",""list"",""listitem, level 1, position 1, set size 1"",""I'm doing just okay"",""end of listitem, level 1, position 1, set size 1"",""end of list"",""end of list"",""end of main"",""end of document""]","end of list","6","","","list","","","- list:
  - list:
    - listitem: I'm doing just okay","","[{""id"":""list"",""impact"":""serious"",""help"":""<ul> and <ol> must only directly contain <li>, <script> or <template> elements"",""tags"":[""cat.structure"",""wcag2a"",""wcag131"",""EN-301-549"",""EN-9.1.3.1"",""RGAAv4"",""RGAA-9.3.1""],""nodes"":[{""html"":""<ul data-sample-id=\""sample-0\"">\n<ul data-sample-id=\""sample-1\"">\n<li>I'm doing just okay</li>\n</ul>\n</ul>"",""target"":[""ul[data-sample-id=\""sample-0\""]""]}]}]","[{""id"":""list"",""impact"":""serious"",""help"":""<ul> and <ol> must only directly contain <li>, <script> or <template> elements"",""tags"":[""cat.structure"",""wcag2a"",""wcag131"",""EN-301-549"",""EN-9.1.3.1"",""RGAAv4"",""RGAA-9.3.1""],""nodes"":[{""html"":""<ul data-sample-id=\""sample-0\"">\n<ul data-sample-id=\""sample-1\"">\n<li>I'm doing just okay</li>\n</ul>\n</ul>"",""target"":[""ul[data-sample-id=\""sample-0\""]""]}]}]"
"lists-improperly-nested-lists::sample-1","lists-improperly-nested-lists.html","GDS-accessibility-audit","1.3.1","lists","improperly-nested-lists","inaccessible","source-folder-ground-truth","2026-07-06T08:09:51.134Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","ul","ul","body > main > ul > ul","I'm doing just okay","<ul><li>I'm doing just okay</li></ul>","<ul><li>I'm doing just okay</li></ul>","ul","body > main > ul","<ul><ul><li>I'm doing just okay</li></ul></ul>","[""body"",""main"",""list""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""list"",""listitem, level 1, position 1, set size 1"",""I'm doing just okay"",""end of listitem, level 1, position 1, set size 1"",""end of list""]","[""document"",""heading, Lists, level 1"",""main"",""list"",""list"",""listitem, level 1, position 1, set size 1"",""I'm doing just okay"",""end of listitem, level 1, position 1, set size 1"",""end of list"",""end of list"",""end of main"",""end of document""]","end of list","5","","","list","","","- list:
  - listitem: I'm doing just okay","","[]","[]"
"lists-li-element-with-no-parent::sample-0","lists-li-element-with-no-parent.html","GDS-accessibility-audit","1.3.1","lists","li-element-with-no-parent","inaccessible","source-folder-ground-truth","2026-07-06T08:09:51.317Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","orphan-li","li","body > main > li","no parent","<li>
no parent
</li>","<li>
no parent
</li>","main","body > main","<main><li>
no parent
</li></main>","[""body"",""main""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""no parent""]","[""document"",""heading, A LI element, level 1"",""main"",""no parent"",""end of main"",""end of document""]","no parent","1","","","listitem","","","- listitem: no parent","","[{""id"":""listitem"",""impact"":""serious"",""help"":""<li> elements must be contained in a <ul> or <ol>"",""tags"":[""cat.structure"",""wcag2a"",""wcag131"",""EN-301-549"",""EN-9.1.3.1"",""RGAAv4"",""RGAA-9.3.1""],""nodes"":[{""html"":""<li data-sample-id=\""sample-0\"">\n            no parent\n        </li>"",""target"":[""li""]}]}]","[{""id"":""listitem"",""impact"":""serious"",""help"":""<li> elements must be contained in a <ul> or <ol>"",""tags"":[""cat.structure"",""wcag2a"",""wcag131"",""EN-301-549"",""EN-9.1.3.1"",""RGAAv4"",""RGAA-9.3.1""],""nodes"":[{""html"":""<li data-sample-id=\""sample-0\"">\n            no parent\n        </li>"",""target"":[""li""]}]}]"
"lists-list-not-marked-up-as-a-list::sample-0","lists-list-not-marked-up-as-a-list.html","GDS-accessibility-audit","1.3.1","lists","list-not-marked-up-as-a-list","inaccessible","source-folder-ground-truth","2026-07-06T08:09:51.567Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","main","body > main","* apple * orange * banana * pear","<main>
* apple <br>
* orange <br>
* banana <br>
* pear

</main>","<main>
* apple <br>
* orange <br>
* banana <br>
* pear

</main>","body","body","<body><h1>A List</h1><main>
* apple <br>
* orange <br>
* banana <br>
* pear

</main></body>","[""body""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""main"",""* apple"",""* orange"",""* banana"",""* pear"",""end of main""]","[""document"",""heading, A List, level 1"",""main"",""* apple"",""* orange"",""* banana"",""* pear"",""end of main"",""end of document""]","end of main","6","","","main","* apple * orange * banana * pear","","- main: ""* apple * orange * banana * pear""","","[]","[]"
"missing::sample-0","missing.html","GDS-accessibility-audit","1.3.1","other","missing","inaccessible","source-folder-ground-truth","2026-07-06T08:09:52.001Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","block","body","body","Accessibility Website Language of content html element This page has something to find out Page Title This page has something to find out Heading Another heading Okay, sounds fun, I'm in!","<body><div class=""h1"" style=""font-size: 2em; font-weight: bold; margin: 0.67em 0;"">Accessibility Website</div><h2>Language of content</h2><h3>html element</h3><div class=""example""><p>This page has something to find out</p></div><h2>Page Title</h2><div class=""example""><p>This page has something to find out</p></div><h2>Heading</h2><h3>Another heading</h3><div class=""example""><p>Okay, sounds fun, I'm in!</p></div></body>","<body><div class=""h1"" style=""font-size: 2em; font-weight: bold; margin: 0.67em 0;"">Accessibility Website</div><h2>Language of content</h2><h3>html element</h3><div class=""example""><p>This page has something to find out</p></div><h2>Page Title</h2><div class=""example""><p>This page has something to find out</p></div><h2>Heading</h2><h3>Another heading</h3><div class=""example""><p>Okay, sounds fun, I'm in!</p></div></body>","html","html","<html><head></head><body><div class=""h1"" style=""font-size: 2em; font-weight: bold; margin: 0.67em 0;"">Accessibility Website</div><h2>Language of content</h2><h3>html element</h3><div class=""example""><p>This page has something to find out</p></div><h2>Page Title</h2><div class=""example""><p>This page has something to find out</p></div><h2>Heading</h2><h3>Another heading</h3><div class=""example""><p>Okay, sounds fun, I'm in!</p></div></body></html>","[""html""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""document"",""Accessibility Website"",""heading, Language of content, level 2"",""heading, html element, level 3"",""paragraph"",""This page has something to find out"",""end of paragraph"",""heading, Page Title, level 2"",""paragraph"",""This page has something to find out"",""end of paragraph"",""heading, Heading, level 2"",""heading, Another heading, level 3"",""paragraph"",""Okay, sounds fun, I'm in!"",""end of paragraph"",""end of document""]","[""document"",""Accessibility Website"",""heading, Language of content, level 2"",""heading, html element, level 3"",""paragraph"",""This page has something to find out"",""end of paragraph"",""heading, Page Title, level 2"",""paragraph"",""This page has something to find out"",""end of paragraph"",""heading, Heading, level 2"",""heading, Another heading, level 3"",""paragraph"",""Okay, sounds fun, I'm in!"",""end of paragraph"",""end of document""]","end of document","17","","","text","","","- text: Accessibility Website
- heading ""Language of content"" [level=2]
- heading ""html element"" [level=3]
- paragraph: This page has something to find out
- heading ""Page Title"" [level=2]
- paragraph: This page has something to find out
- heading ""Heading"" [level=2]
- heading ""Another heading"" [level=3]
- paragraph: Okay, sounds fun, I'm in!","","[{""id"":""region"",""impact"":""moderate"",""help"":""All page content should be contained by landmarks"",""tags"":[""cat.keyboard"",""best-practice"",""RGAAv4"",""RGAA-9.2.1""],""nodes"":[{""html"":""<div class=\""h1\"" style=\""font-size: 2em; font-weight: bold; margin: 0.67em 0;\"">Accessibility Website</div>"",""target"":["".h1""]},{""html"":""<h2>Language of content</h2>"",""target"":[""h2:nth-child(2)""]},{""html"":""<h3>html element</h3>"",""target"":[""h3:nth-child(3)""]},{""html"":""<div class=\""example\"">\n    <p>This page has something to find out</p>\n  </div>"",""target"":["".example:nth-child(4)""]},{""html"":""<h2>Page Title</h2>"",""target"":[""h2:nth-child(5)""]},{""html"":""<div class=\""example\"">\n    <p>This page has something to find out</p>\n  </div>"",""target"":["".example:nth-child(6)""]},{""html"":""<h2>Heading</h2>"",""target"":[""h2:nth-child(7)""]},{""html"":""<h3>Another heading</h3>"",""target"":[""h3:nth-child(8)""]},{""html"":""<div class=\""example\"">\n    <p>Okay, sounds fun, I'm in!</p>\n  </div>"",""target"":["".example:nth-child(9)""]}]}]","[]"
"tables-table-has-an-empty-table-header::sample-0","tables-table-has-an-empty-table-header.html","GDS-accessibility-audit","1.3.1","tables","table-has-an-empty-table-header","inaccessible","source-folder-ground-truth","2026-07-06T08:09:52.586Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","table","table","body > main > table","Shelly's Daughters Age Birthday Jackie 5 April 5 Beth 8 January 14","<table><caption>Shelly's Daughters</caption><thead><tr><th></th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table>","<table><caption>Shelly's Daughters</caption><thead><tr><th></th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table>","main","body > main","<main><table><caption>Shelly's Daughters</caption><thead><tr><th></th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table></main>","[""body"",""main""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""table, Shelly's Daughters"",""caption, Shelly's Daughters"",""rowgroup"",""row, Age Birthday"",""columnheader"",""columnheader, Age"",""columnheader, Birthday"",""end of row, Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""rowheader, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""rowheader, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table, Shelly's Daughters""]","[""document"",""heading, A Table, level 1"",""main"",""table, Shelly's Daughters"",""caption, Shelly's Daughters"",""rowgroup"",""row, Age Birthday"",""columnheader"",""columnheader, Age"",""columnheader, Birthday"",""end of row, Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""rowheader, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""rowheader, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table, Shelly's Daughters"",""end of main"",""end of document""]","end of table, Shelly's Daughters","22","[""table, Shelly's Daughters"",""caption, Shelly's Daughters"",""rowgroup"",""row, Age Birthday"",""columnheader"",""columnheader, Age"",""columnheader, Birthday"",""end of row, Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""rowheader, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""rowheader, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table, Shelly's Daughters""]","[""row, Age Birthday"",""columnheader"",""columnheader, Age"",""columnheader, Birthday"",""end of row, Age Birthday"",""row, Jackie 5 April 5"",""rowheader, Jackie"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""rowheader, Beth"",""end of row, Beth 8 January 14""]","table","Shelly's Daughters","","- table ""Shelly's Daughters"":
  - caption: Shelly's Daughters
  - rowgroup:
    - row ""Age Birthday"":
      - columnheader
      - columnheader ""Age""
      - columnheader ""Birthday""
  - rowgroup:
    - row ""Jackie 5 April 5"":
      - rowheader ""Jackie""
      - cell ""5""
      - cell ""April 5""
    - row ""Beth 8 January 14"":
      - rowheader ""Beth""
      - cell ""8""
      - cell ""January 14""","[[{""tag"":""th"",""scope"":null,""headers"":null,""id"":null,""text"":""""},{""tag"":""th"",""scope"":""col"",""headers"":null,""id"":null,""text"":""Age""},{""tag"":""th"",""scope"":""col"",""headers"":null,""id"":null,""text"":""Birthday""}],[{""tag"":""th"",""scope"":""row"",""headers"":null,""id"":null,""text"":""Jackie""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""5""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""April 5""}],[{""tag"":""th"",""scope"":""row"",""headers"":null,""id"":null,""text"":""Beth""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""8""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""January 14""}]]","[{""id"":""empty-table-header"",""impact"":""minor"",""help"":""Table header text should not be empty"",""tags"":[""cat.name-role-value"",""best-practice""],""nodes"":[{""html"":""<th></th>"",""target"":[""thead > tr > th:nth-child(1)""]}]}]","[]"
"tables-table-has-no-scope-attributes::sample-0","tables-table-has-no-scope-attributes.html","GDS-accessibility-audit","1.3.1","tables","table-has-no-scope-attributes","inaccessible","source-folder-ground-truth","2026-07-06T08:09:53.188Z","","en","virtual-default","chromium","149.0.7827.55","4.12.1","virtual-screen-reader","table","table","body > main > table","Opening times Monday-Friday Saturday Sunday 08:00 - 12:00 open open closed 12:00 - 16:00 open closed closed","<table><caption>Opening
times</caption><tbody><tr><td></td><th>Monday-Friday</th><th>Saturday</th><th>Sunday</th></tr><tr><th>08:00
-
12:00</th><td>open</td><td>open</td><td>closed</td></tr><tr><th>12:00
-
16:00</th><td>open</td><td>closed</td><td>closed</td></tr></tbody></table>","<table><caption>Opening
times</caption><tbody><tr><td></td><th>Monday-Friday</th><th>Saturday</th><th>Sunday</th></tr><tr><th>08:00
-
12:00</th><td>open</td><td>open</td><td>closed</td></tr><tr><th>12:00
-
16:00</th><td>open</td><td>closed</td><td>closed</td></tr></tbody></table>","main","body > main","<main><table><caption>Opening
times</caption><tbody><tr><td></td><th>Monday-Friday</th><th>Saturday</th><th>Sunday</th></tr><tr><th>08:00
-
12:00</th><td>open</td><td>open</td><td>closed</td></tr><tr><th>12:00
-
16:00</th><td>open</td><td>closed</td><td>closed</td></tr></tbody></table></main>","[""body"",""main""]","[]","[]","virtual-screen-reader: start(container=element) + next() to end","[""table, Opening\ntimes"",""caption, Opening\ntimes"",""rowgroup"",""row, Monday-Friday Saturday Sunday"",""cell"",""rowheader, Monday-Friday"",""rowheader, Saturday"",""rowheader, Sunday"",""end of row, Monday-Friday Saturday Sunday"",""row, 08:00\n-\n12:00 open open closed"",""rowheader, 08:00\n-\n12:00"",""cell, open"",""cell, open"",""cell, closed"",""end of row, 08:00\n-\n12:00 open open closed"",""row, 12:00\n-\n16:00 open closed closed"",""rowheader, 12:00\n-\n16:00"",""cell, open"",""cell, closed"",""cell, closed"",""end of row, 12:00\n-\n16:00 open closed closed"",""end of rowgroup"",""end of table, Opening\ntimes""]","[""document"",""heading, A Table, level 1"",""main"",""table, Opening\ntimes"",""caption, Opening\ntimes"",""rowgroup"",""row, Monday-Friday Saturday Sunday"",""cell"",""rowheader, Monday-Friday"",""rowheader, Saturday"",""rowheader, Sunday"",""end of row, Monday-Friday Saturday Sunday"",""row, 08:00\n-\n12:00 open open closed"",""rowheader, 08:00\n-\n12:00"",""cell, open"",""cell, open"",""cell, closed"",""end of row, 08:00\n-\n12:00 open open closed"",""row, 12:00\n-\n16:00 open closed closed"",""rowheader, 12:00\n-\n16:00"",""cell, open"",""cell, closed"",""cell, closed"",""end of row, 12:00\n-\n16:00 open closed closed"",""end of rowgroup"",""end of table, Opening\ntimes"",""end of main"",""end of document""]","end of table, Opening
times","23","[""table, Opening\ntimes"",""caption, Opening\ntimes"",""rowgroup"",""row, Monday-Friday Saturday Sunday"",""cell"",""rowheader, Monday-Friday"",""rowheader, Saturday"",""rowheader, Sunday"",""end of row, Monday-Friday Saturday Sunday"",""row, 08:00\n-\n12:00 open open closed"",""rowheader, 08:00\n-\n12:00"",""cell, open"",""cell, open"",""cell, closed"",""end of row, 08:00\n-\n12:00 open open closed"",""row, 12:00\n-\n16:00 open closed closed"",""rowheader, 12:00\n-\n16:00"",""cell, open"",""cell, closed"",""cell, closed"",""end of row, 12:00\n-\n16:00 open closed closed"",""end of rowgroup"",""end of table, Opening\ntimes""]","[""row, Monday-Friday Saturday Sunday"",""rowheader, Monday-Friday"",""rowheader, Saturday"",""rowheader, Sunday"",""end of row, Monday-Friday Saturday Sunday"",""row, 08:00\n-\n12:00 open open closed"",""rowheader, 08:00\n-\n12:00"",""end of row, 08:00\n-\n12:00 open open closed"",""row, 12:00\n-\n16:00 open closed closed"",""rowheader, 12:00\n-\n16:00"",""end of row, 12:00\n-\n16:00 open closed closed""]","table","Opening times","","- table ""Opening times"":
  - caption: Opening times
  - rowgroup:
    - row ""Monday-Friday Saturday Sunday"":
      - cell
      - columnheader ""Monday-Friday""
      - columnheader ""Saturday""
      - columnheader ""Sunday""
    - row ""08:00 - 12:00 open open closed"":
      - rowheader ""08:00 - 12:00""
      - cell ""open""
      - cell ""open""
      - cell ""closed""
    - row ""12:00 - 16:00 open closed closed"":
      - rowheader ""12:00 - 16:00""
      - cell ""open""
      - cell ""closed""
      - cell ""closed""","[[{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""""},{""tag"":""th"",""scope"":null,""headers"":null,""id"":null,""text"":""Monday-Friday""},{""tag"":""th"",""scope"":null,""headers"":null,""id"":null,""text"":""Saturday""},{""tag"":""th"",""scope"":null,""headers"":null,""id"":null,""text"":""Sunday""}],[{""tag"":""th"",""scope"":null,""headers"":null,""id"":null,""text"":""08:00 - 12:00""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""open""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""open""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""closed""}],[{""tag"":""th"",""scope"":null,""headers"":null,""id"":null,""text"":""12:00 - 16:00""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""open""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""closed""},{""tag"":""td"",""scope"":null,""headers"":null,""id"":null,""text"":""closed""}]]","[]","[]"
