"sample_id","source_file","label","element_html","parent_html","sr_transcript","sr_status_announcement","sr_role_state_value","sr_label_instruction","sr_focus_order","sr_link_purpose","sr_headings_labels","sr_reading_order","sr_keyboard_trap","sr_focus_context","sr_input_context","sr_sensory_reference","sr_computed_style"
"html-article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc.::sample-1","html-article-element-used-to-mark-up-an-element-thats-not-an-article-blog-post-etc..html","inaccessible","<ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul>","<nav aria-labelledby=""parent-other"" role=""navigation""><ul><li><a href=""/agency-workers-your-rights"">Your rights as an agency worker</a></li><li><a href=""/acas"">Advisory, Conciliation and Arbitration Service (Acas)</a></li></ul></nav>","[""list"",""listitem, level 1, position 1, set size 2"",""link, Your rights as an agency worker"",""end of listitem, level 1, position 1, set size 2"",""listitem, level 1, position 2, set size 2"",""link, Advisory, Conciliation and Arbitration Service (Acas)"",""end of listitem, level 1, position 2, set size 2"",""end of list""]","","","","","","","","","","","","{""generated"":[],""links"":[{""text"":""Your rights as an agency worker"",""href"":""/agency-workers-your-rights"",""link"":{""color"":""rgb(0, 0, 238)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""},{""text"":""Advisory, Conciliation and Arbitration Service (Acas)"",""href"":""/acas"",""link"":{""color"":""rgb(0, 0, 238)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""16px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""}]}"
"html-empty-paragraph::sample-0","html-empty-paragraph.html","inaccessible","<main><p></p></main>","<body><h1>A paragraph</h1><main><p></p></main></body>","[""main"",""paragraph"",""end of main""]","","","","","","","","","","","",""
"html-invalid-aria-role-names::sample-0","html-invalid-aria-role-names.html","inaccessible","<ol class=""group"" role=""breadcrumbs""><li><a href=""/"">Home</a></li><li><a href=""/browse/housing-local-services"">Housing and local services</a></li><li><strong><a href=""/browse/housing-local-services/local-councils"">Local councils and services</a></strong></li></ol>","<div class=""header-context"" id=""global-breadcrumb""><ol class=""group"" role=""breadcrumbs""><li><a href=""/"">Home</a></li><li><a href=""/browse/housing-local-services"">Housing and local services</a></li><li><strong><a href=""/browse/housing-local-services/local-councils"">Local councils and services</a></strong></li></ol></div>","[""list"",""link, Home"",""link, Housing and local services"",""strong"",""link, Local councils and services"",""end of strong"",""end of list""]","","","","","","","","","","","","{""generated"":[],""links"":[{""text"":""Home"",""href"":""/"",""link"":{""color"":""rgb(11, 12, 12)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""14px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""14px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""},{""text"":""Housing and local services"",""href"":""/browse/housing-local-services"",""link"":{""color"":""rgb(11, 12, 12)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""14px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""14px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""},{""text"":""Local councils and services"",""href"":""/browse/housing-local-services/local-councils"",""link"":{""color"":""rgb(11, 12, 12)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""underline"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""14px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""400"",""fontStyle"":""normal"",""fontSize"":""14px""},""differsIn"":[""color"",""textDecorationLine""],""surroundingText"":""""}]}"
"html-spacer-image-found::sample-0","html-spacer-image-found.html","inaccessible","<img alt="""" height=""1"" src=""../../assets/test_images/spacer.gif"" width=""100"">","<main>
We are here. <img alt="""" height=""1"" src=""../../assets/test_images/spacer.gif"" width=""100""> And you are there.
</main>","[""""]","","","","","","","","","","","",""
"links-link-not-clearly-identifiable-and-distinguishable-from-surrounding-text::sample-0","links-link-not-clearly-identifiable-and-distinguishable-from-surrounding-text.html","inaccessible","<main><p class=""unobvious-link"">Find out more about <a href=""http://www.bbc.co.uk/programmes/b006q2x0"">Doctor Who</a></p></main>","<body><h1>A Link</h1><main><p class=""unobvious-link"">Find out more about <a href=""http://www.bbc.co.uk/programmes/b006q2x0"">Doctor Who</a></p></main></body>","[""main"",""paragraph"",""Find out more about"",""link, Doctor Who"",""end of paragraph"",""end of main""]","","","","","","","","","","","","{""generated"":[],""links"":[{""text"":""Doctor Who"",""href"":""http://www.bbc.co.uk/programmes/b006q2x0"",""link"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""700"",""fontStyle"":""normal"",""fontSize"":""16px""},""surrounding"":{""color"":""rgb(0, 0, 0)"",""backgroundColor"":""rgba(0, 0, 0, 0)"",""textDecorationLine"":""none"",""fontWeight"":""700"",""fontStyle"":""normal"",""fontSize"":""16px""},""differsIn"":[],""surroundingText"":""Find out more about""}]}"
"lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element::sample-0","lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element.html","inaccessible","<dt>html</dt>","<main><dt>html</dt><dd>a markup language for describing web documents</dd></main>","[""term"",""html"",""end of term""]","","","","","","","","","","","",""
"lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element::sample-1","lists-dt-or-dd-elements-that-are-not-contained-within-a-dl-element.html","inaccessible","<dd>a markup language for describing web documents</dd>","<main><dt>html</dt><dd>a markup language for describing web documents</dd></main>","[""definition"",""a markup language for describing web documents"",""end of definition""]","","","","","","","","","","","",""
"lists-improperly-nested-lists::sample-0","lists-improperly-nested-lists.html","inaccessible","<ul><ul><li>I'm doing just okay</li></ul></ul>","<main><ul><ul><li>I'm doing just okay</li></ul></ul></main>","[""list"",""list"",""listitem, level 1, position 1, set size 1"",""I'm doing just okay"",""end of listitem, level 1, position 1, set size 1"",""end of list""]","","","","","","","","","","","",""
"lists-improperly-nested-lists::sample-1","lists-improperly-nested-lists.html","inaccessible","<ul><li>I'm doing just okay</li></ul>","<ul><ul><li>I'm doing just okay</li></ul></ul>","[""list"",""listitem, level 1, position 1, set size 1"",""I'm doing just okay"",""end of listitem, level 1, position 1, set size 1"",""end of list""]","","","","","","","","","","","",""
"lists-li-element-with-no-parent::sample-0","lists-li-element-with-no-parent.html","inaccessible","<li>
no parent
</li>","<main><li>
no parent
</li></main>","[""no parent""]","","","","","","","","","","","",""
"lists-list-not-marked-up-as-a-list::sample-0","lists-list-not-marked-up-as-a-list.html","inaccessible","<main>
* apple <br>
* orange <br>
* banana <br>
* pear

</main>","<body><h1>A List</h1><main>
* apple <br>
* orange <br>
* banana <br>
* pear

</main></body>","[""main"",""* apple"",""* orange"",""* banana"",""* pear"",""end of main""]","","","","","","","","","","","",""
"missing::sample-0","missing.html","inaccessible","<body><div class=""h1"" style=""font-size: 2em; font-weight: bold; margin: 0.67em 0;"">Accessibility Website</div><h2>Language of content</h2><h3>html element</h3><div class=""example""><p>This page has something to find out</p></div><h2>Page Title</h2><div class=""example""><p>This page has something to find out</p></div><h2>Heading</h2><h3>Another heading</h3><div class=""example""><p>Okay, sounds fun, I'm in!</p></div></body>","<html><head></head><body><div class=""h1"" style=""font-size: 2em; font-weight: bold; margin: 0.67em 0;"">Accessibility Website</div><h2>Language of content</h2><h3>html element</h3><div class=""example""><p>This page has something to find out</p></div><h2>Page Title</h2><div class=""example""><p>This page has something to find out</p></div><h2>Heading</h2><h3>Another heading</h3><div class=""example""><p>Okay, sounds fun, I'm in!</p></div></body></html>","[""document"",""Accessibility Website"",""heading, Language of content, level 2"",""heading, html element, level 3"",""paragraph"",""This page has something to find out"",""end of paragraph"",""heading, Page Title, level 2"",""paragraph"",""This page has something to find out"",""end of paragraph"",""heading, Heading, level 2"",""heading, Another heading, level 3"",""paragraph"",""Okay, sounds fun, I'm in!"",""end of paragraph"",""end of document""]","","","","","","","","","","","",""
"tables-table-has-an-empty-table-header::sample-0","tables-table-has-an-empty-table-header.html","inaccessible","<table><caption>Shelly's Daughters</caption><thead><tr><th></th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table>","<main><table><caption>Shelly's Daughters</caption><thead><tr><th></th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table></main>","[""table, Shelly's Daughters"",""caption, Shelly's Daughters"",""rowgroup"",""row, Age Birthday"",""columnheader"",""columnheader, Age"",""columnheader, Birthday"",""end of row, Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""rowheader, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""rowheader, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table, Shelly's Daughters""]","","","","","","","","","","","",""
"tables-table-has-no-scope-attributes::sample-0","tables-table-has-no-scope-attributes.html","inaccessible","<table><caption>Opening
times</caption><tbody><tr><td></td><th>Monday-Friday</th><th>Saturday</th><th>Sunday</th></tr><tr><th>08:00
-
12:00</th><td>open</td><td>open</td><td>closed</td></tr><tr><th>12:00
-
16:00</th><td>open</td><td>closed</td><td>closed</td></tr></tbody></table>","<main><table><caption>Opening
times</caption><tbody><tr><td></td><th>Monday-Friday</th><th>Saturday</th><th>Sunday</th></tr><tr><th>08:00
-
12:00</th><td>open</td><td>open</td><td>closed</td></tr><tr><th>12:00
-
16:00</th><td>open</td><td>closed</td><td>closed</td></tr></tbody></table></main>","[""table, Opening\ntimes"",""caption, Opening\ntimes"",""rowgroup"",""row, Monday-Friday Saturday Sunday"",""cell"",""rowheader, Monday-Friday"",""rowheader, Saturday"",""rowheader, Sunday"",""end of row, Monday-Friday Saturday Sunday"",""row, 08:00\n-\n12:00 open open closed"",""rowheader, 08:00\n-\n12:00"",""cell, open"",""cell, open"",""cell, closed"",""end of row, 08:00\n-\n12:00 open open closed"",""row, 12:00\n-\n16:00 open closed closed"",""rowheader, 12:00\n-\n16:00"",""cell, open"",""cell, closed"",""cell, closed"",""end of row, 12:00\n-\n16:00 open closed closed"",""end of rowgroup"",""end of table, Opening\ntimes""]","","","","","","","","","","","",""
"tables-table-has-no-table-headings::sample-0","tables-table-has-no-table-headings.html","inaccessible","<table><caption>Shelly's Daughters</caption><thead><tr><td>Name</td><td>Age</td><td>Birthday</td></tr></thead><tbody><tr><td>Jackie</td><td>5</td><td>April 5</td></tr><tr><td>Beth</td><td>8</td><td>January 14</td></tr></tbody></table>","<main><table><caption>Shelly's Daughters</caption><thead><tr><td>Name</td><td>Age</td><td>Birthday</td></tr></thead><tbody><tr><td>Jackie</td><td>5</td><td>April 5</td></tr><tr><td>Beth</td><td>8</td><td>January 14</td></tr></tbody></table></main>","[""table, Shelly's Daughters"",""caption, Shelly's Daughters"",""rowgroup"",""row, Name Age Birthday"",""cell, Name"",""cell, Age"",""cell, Birthday"",""end of row, Name Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""cell, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""cell, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table, Shelly's Daughters""]","","","","","","","","","","","",""
"tables-table-is-missing-a-caption::sample-0","tables-table-is-missing-a-caption.html","inaccessible","<table><thead><tr><th scope=""col"">Name</th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table>","<main><table><thead><tr><th scope=""col"">Name</th><th scope=""col"">Age</th><th scope=""col"">Birthday</th></tr></thead><tbody><tr><th scope=""row"">Jackie</th><td>5</td><td>April 5</td></tr><tr><th scope=""row"">Beth</th><td>8</td><td>January 14</td></tr></tbody></table></main>","[""table"",""rowgroup"",""row, Name Age Birthday"",""columnheader, Name"",""columnheader, Age"",""columnheader, Birthday"",""end of row, Name Age Birthday"",""end of rowgroup"",""rowgroup"",""row, Jackie 5 April 5"",""rowheader, Jackie"",""cell, 5"",""cell, April 5"",""end of row, Jackie 5 April 5"",""row, Beth 8 January 14"",""rowheader, Beth"",""cell, 8"",""cell, January 14"",""end of row, Beth 8 January 14"",""end of rowgroup"",""end of table""]","","","","","","","","","","","",""
"tables-table-nested-within-table-header::sample-0","tables-table-nested-within-table-header.html","inaccessible","<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Lunch</td><td>£6.99</td></tr><tr><th>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></th><td>£609.98</td></tr></tbody></table>","<main><table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Lunch</td><td>£6.99</td></tr><tr><th>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></th><td>£609.98</td></tr></tbody></table></main>","[""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Lunch £6.99"",""cell, Lunch"",""cell, £6.99"",""end of row, Lunch £6.99"",""row, Holiday Item Cost Accommodation £499.99 Travel £109.99 £609.98"",""rowheader, Holiday Item Cost Accommodation £499.99 Travel £109.99"",""Holiday"",""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Accommodation £499.99"",""cell, Accommodation"",""cell, £499.99"",""end of row, Accommodation £499.99"",""row, Travel £109.99"",""cell, Travel"",""cell, £109.99"",""end of row, Travel £109.99"",""end of rowgroup"",""end of table"",""end of rowheader, Holiday Item Cost Accommodation £499.99 Travel £109.99"",""cell, £609.98"",""end of row, Holiday Item Cost Accommodation £499.99 Travel £109.99 £609.98"",""end of rowgroup"",""end of table""]","","","","","","","","","","","",""
"tables-table-nested-within-table-header::sample-1","tables-table-nested-within-table-header.html","inaccessible","<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table>","<th>Holiday
<table><tbody><tr><th>Item</th><th>Cost</th></tr><tr><td>Accommodation</td><td>£499.99</td></tr><tr><td>Travel</td><td>£109.99</td></tr></tbody></table></th>","[""table"",""rowgroup"",""row, Item Cost"",""columnheader, Item"",""columnheader, Cost"",""end of row, Item Cost"",""row, Accommodation £499.99"",""cell, Accommodation"",""cell, £499.99"",""end of row, Accommodation £499.99"",""row, Travel £109.99"",""cell, Travel"",""cell, £109.99"",""end of row, Travel £109.99"",""end of rowgroup"",""end of table""]","","","","","","","","","","","",""
